file,kernel,comp,rational,mem,localmem,coalesced,atomic,F2:coalesced/mem,F4:comp/mem
000005afecb8219b582a775aea00432e089e454a.cl,A,0,1,1,0,1,0,1,0
00003afe9c9ae49fec27ac44d9af2b0b27953ae2.cl,A,2,1,3,0,3,0,1,0.667
0000c4492d52960828672da9c29c11730947576d.cl,A,1,0,1,0,1,0,1,1
000190b3f869a2e5f7e60a91856e36722a40eb01.cl,A,1,0,3,0,3,0,1,0.333
0002bbaf93a8e661a5cf1f10944defc80749774e.cl,A,2,1,4,0,3,0,0.75,0.5
00067f86cc7c422567561608752de9f38938fe65.cl,A,3,1,3,0,3,0,1,1
0006897fc6a51af1321d7a46685661117c489e9b.cl,A,2,1,7,0,6,0,0.857,0.286
0006a367a23383a79e7ae9d08f330b2defbd5f7e.cl,A,1,0,3,0,3,0,1,0.333
0008efb7eac442ff3e9b3c6adcf747789a7c4a88.cl,A,1,2,1,0,0,0,0,1
00092dbc3a37e00a5131ff907268f8165fdd013d.cl,A,2,1,4,0,3,0,0.75,0.5
000aed5be3f6033bcd8517fc2a1df7ba5fea7dc5.cl,A,0,1,1,0,0,0,0,0
000b416c92bd3c049c5aa340ba9eb4df653cb240.cl,A,0,0,2,0,1,0,0.5,0
000b497242a7de8651b9cbc7d32454eaa695c316.cl,A,0,2,2,0,2,0,1,0
000cdffdc0c4265db2d8538bd08229e97d3494af.cl,A,2,1,2,0,1,0,0.5,1
000ce28b7c15d439bb338da5712baf4e4312c553.cl,A,3,2,11,0,10,0,0.909,0.273
000d5091f312c1139bf6487335497d2c5209a679.cl,A,0,2,7,0,4,0,0.571,0
000db0983fecd959a1f5ee778ead82fceee9c447.cl,A,2,1,3,0,3,0,1,0.667
00105d5b79df1951d9c8ee00817ff48a71624348.cl,A,4,1,3,0,2,0,0.667,1.33
00107127d5554c6370177a4e718e434aa386e68e.cl,A,3,1,4,0,4,0,1,0.75
00137a10e6e4fb80a3243bba7758ba08783e87ce.cl,A,4,1,8,0,8,0,1,0.5
0013ceebd577e7a9a5dd8cedae9a64616f55a4db.cl,A,0,0,2,0,0,0,0,0
001428995927f3c1dbeaade09a42dc080ac30672.cl,A,2,0,2,0,2,0,1,1
00145cf1193b263bf2d0c5c8229c7d3ad72a17f6.cl,A,2,1,2,0,2,0,1,1
00159054e3950ab85dacb7eb85ed4635b5112620.cl,A,1,0,3,0,3,0,1,0.333
001672361b162af7b4203f5833075acabcfe629f.cl,A,0,0,1,0,1,0,1,0
00168e47a083509f5f81318e30f6563395c5e9cf.cl,A,6,2,5,0,5,0,1,1.2
0018dc1d688cabd5bb63479e60a3dec5308274eb.cl,A,0,0,2,0,1,0,0.5,0
0018fcb70c5769d7680c09414d16f4717edab3fd.cl,A,4,1,7,0,6,0,0.857,0.571
001b0893a1e385b2c73e739673862eb87f9abf1a.cl,A,0,0,2,0,2,0,1,0
001bda1150b0d56154809d0187a6f06f89d524af.cl,A,3,1,1,0,0,0,0,3
001be888d2a21bf0cda4dd85789fd9fa476b0ecb.cl,A,1,1,6,0,5,0,0.833,0.167
001d924659cea32c466cc36d5c3cd9109ec76bd7.cl,A,2,1,3,0,3,0,1,0.667
001d9c46569246724ea55f6794a0a908e70fd982.cl,A,2,1,3,0,3,0,1,0.667
001db86fb46bfe47da14044544fa969fd94834b2.cl,A,2,0,3,0,3,0,1,0.667
0020045f943b9c4b8c767d300fe511a62da3cb38.cl,A,7,2,4,0,1,0,0.25,1.75
0020683138d41c515cafb49a148f15997ac1db42.cl,A,4,1,10,0,10,0,1,0.4
002115daac379866c8a5a993fda53c6bdce31723.cl,A,1,1,4,0,4,0,1,0.25
00219ec4ad75bf95bdbf8b65435460b3239defe1.cl,A,1,1,1,0,1,0,1,1
00230c48406e71107d38656f221b09f70f2560a4.cl,A,2,1,5,0,5,0,1,0.4
0023de0df32b0078a3d0f257eab7fe47627cb922.cl,A,5,2,5,0,4,0,0.8,1
0026012590f6553fe601bc49c8d2889e0cb79079.cl,A,5,2,6,0,6,0,1,0.833
002620e77683ff3aea2034d93fdafba4b1b8ee32.cl,A,1,1,4,0,4,0,1,0.25
0026fc62e22002e53455a2c58ca503df89009176.cl,A,0,1,1,0,1,0,1,0
002748ccd6f14da9192a456b984e943504f61f19.cl,A,2,1,5,0,5,0,1,0.4
00286b17cbeb8cfbe8dd7f31fd97b79568ddf5a2.cl,A,1,0,3,0,3,0,1,0.333
00286d7bbe14c245f91d08d681ed960b38202ee3.cl,A,10,2,4,0,1,0,0.25,2.5
002b5b98951df8b32c35f561221062e6088bbd59.cl,A,42,3,25,12,8,0,0.32,1.68
002c726d5575454493028186f5f8cab6410fe033.cl,A,1,0,2,0,2,0,1,0.5
002cad28bda36e0c2d1c59bcfaaa92d2f96fd798.cl,A,2,1,3,0,3,0,1,0.667
002ec247d1dd9a09bdd0f75c3ebe09e02840ea38.cl,A,2,0,2,0,2,0,1,1
002fb06c38f4df17a8d156be20789391a994c487.cl,A,1,1,3,0,3,0,1,0.333
003095822514bffc2886b87d9e8e67eedd748fa8.cl,A,0,1,0,0,0,0,0,0
0032ca00f64060b752526a6586daff0607fc5774.cl,A,1,1,3,0,3,0,1,0.333
0035218cf3c3fc2c6eb6f17daf398efc0e8e029b.cl,A,0,1,2,0,2,0,1,0
0037565169fa296b93e354b66b90b88d35107884.cl,A,1,0,3,0,3,0,1,0.333
0038b53b9cd820538f664234163d00f6dfea518a.cl,A,6,3,6,0,4,0,0.667,1
003902cb551c334ab2b48795cd0edaa318819d9e.cl,A,2,0,1,0,1,0,1,2
003962d87b5cafc38352dac294e48410fef0690a.cl,A,1,0,3,0,2,0,0.667,0.333
0039d9d6c241a8aea5938bac505aead3a13334d6.cl,A,0,0,2,0,2,0,1,0
003b5fb3231a46bbfeb491589fda312419967af7.cl,A,2,2,5,0,4,0,0.8,0.4
003da69c5314b62aa039172e4d3bccd093e57459.cl,A,2,1,3,0,3,0,1,0.667
003de39f1ba375528eacbaa015337dcc9a72a021.cl,A,2,1,5,0,5,0,1,0.4
003e2ddad3ab4c6792a0ce5a9b1c0a0a2be4821b.cl,A,0,2,2,0,2,0,1,0
003e6a56502d3547352fe8efbb4c55b9b157f7ba.cl,A,2,1,5,0,4,0,0.8,0.4
003ea303a92a4a7f53136d3edff79c757f9160ee.cl,A,1,2,4,0,4,0,1,0.25
003ed65c34c325d075afef34c8285cf2267da74a.cl,A,2,1,4,0,4,0,1,0.5
0040765970dd2bfe16b66f81c62c7af7a016e8c6.cl,A,0,1,2,0,2,0,1,0
