file,kernel,comp,rational,mem,localmem,coalesced,atomic,F2:coalesced/mem,F4:comp/mem
000223b1814bd14b47cfa57091926443a9f5be7d.cl,entry,20,27,1,0,0,0,0,20
0003212d1f33562d5daadba0f96b5a8307cc7be6.cl,entry,7,0,1,0,0,0,0,7
000481751c60fa33ffa2001bd46ccce1d5b12556.cl,entry,82,111,1,0,0,0,0,82
0005c770b6286d2c4c4b40b021a959580c019ed9.cl,entry,130,184,1,0,0,0,0,130
00072eb2b51a7806e452db2e39fbe1bcb6d44804.cl,entry,7,0,1,0,0,0,0,7
00075232167e354a01e3c3eb4e4695398795f541.cl,entry,84,127,1,0,0,0,0,84
0007b8f7b6976601c90e86354b5953653614d0e7.cl,entry,7,0,1,0,0,0,0,7
0007d436c2eea3eab8d24f3558a4d1f8d3f776a4.cl,entry,35,72,1,0,0,0,0,35
00085b19f9d4f758351225401cc47d5842cdac22.cl,entry,7,0,1,0,0,0,0,7
000969ff4b6696944a12e429494be38e8fa98eea.cl,entry,22,24,1,0,0,0,0,22
0009ad7b484bdd4163eb2113e72456c1bc7d8e85.cl,entry,11,8,1,0,0,0,0,11
0009c72db91d3170d4f95434aa355cfc00c4a7dc.cl,entry,39,49,1,0,0,0,0,39
0009dd1179b250e3f97247eb4c532c01b18ed76d.cl,entry,203,242,1,0,0,0,0,203
0009f948efc0d572bd8be1f10274b2ffbeef9889.cl,entry,30,59,1,0,0,0,0,30
000c2b318d674b4086327572bbdc0b4c03b06b83.cl,entry,7,0,1,0,0,0,0,7
000c5674cf01e2279e655b54a3c8536b706d41c6.cl,entry,7,0,1,0,0,0,0,7
000d737c0b863df36c97981f7cc8816244375dc8.cl,entry,12,32,1,0,0,0,0,12
000dc434219838be8a7c6a43f91a66264c498257.cl,entry,583,660,1,0,0,0,0,583
000e26f445a9add1430e56114032875c75c5f86e.cl,entry,8,33,1,0,0,0,0,8
000ec263524705460b0d170f01bcf3e0e5c102ec.cl,entry,54,114,1,0,0,0,0,54
0012e110b5ef0edcf8dd07c3e8b77eefc40aee0f.cl,entry,154,255,1,0,0,0,0,154
00141a9d5a05cd44ea1c2f6eae5d778fd819e580.cl,entry,67,98,1,0,0,0,0,67
00179e5d695f4064262945120c6c132eee2cecfb.cl,entry,13,43,1,0,0,0,0,13
0018df901b88c9855b82e246bf092beb4cbfe49c.cl,entry,28,54,1,0,0,0,0,28
0019f5ac8ea10763c671f8c625e218d1a7dcc9a7.cl,entry,126,141,1,0,0,0,0,126
001bf6d6378d72af9d22fdd0e26fe4fb022e4cef.cl,entry,13,65,1,0,0,0,0,13
001c0441e6b7ed0c624d9c901afc3b80985e0e3a.cl,entry,65,121,1,0,0,0,0,65
001eabef7397cef98c0a464818ca1efa1b78b168.cl,entry,41,50,1,0,0,0,0,41
0021848fb7e45771f27e97f7816813738c15c9f9.cl,entry,321,370,1,0,0,0,0,321
0022d3650ab7c462c37a61e01e258428f1c90adc.cl,entry,12,18,1,0,0,0,0,12
002362d1b1958ad8d44070f1fa9a789d8f5a3c1d.cl,entry,40,45,1,0,0,0,0,40
0024096523d5f46f689f56197af48029105c01ec.cl,entry,9,27,1,0,0,0,0,9
00245cac446801bfe8a9205513dd534b54db6e5b.cl,entry,7,6,1,0,0,0,0,7
0024afc4cf8015952e2968d3cd9f45f5492267d7.cl,entry,7,0,1,0,0,0,0,7
0024b955c646930a60e0f7f909cc56894c18ac35.cl,entry,8,14,1,0,0,0,0,8
002694cf3cc3b98fac9e30ca7bc9062dffe80627.cl,entry,7,0,1,0,0,0,0,7
00269b74dc8e72dffa62bfa4af407eda3e91bc7a.cl,entry,88,137,1,0,0,0,0,88
002827cd7d22ae92d2d0936e451c352fbb494c7a.cl,entry,7,3,1,0,0,0,0,7
0030d7615513b8a905892f3e8cb1b07eab217022.cl,entry,32,57,1,0,0,0,0,32
00319a45ccce0959e8b95cadc2105c1e1ee2517f.cl,entry,52,48,1,0,0,0,0,52
00330409fc0dde36ed7ea80e6a036fc0d2550e05.cl,entry,64,67,1,0,0,0,0,64
0033d26f849d1c65fe01650f3d8c26be4e293299.cl,entry,8,52,1,0,0,0,0,8
0034f692267421c5a3bccb8faeef61150091ffb7.cl,entry,7,27,1,0,0,0,0,7
00380d8c5087f0408283761be7b5741e31587abb.cl,entry,20,30,1,0,0,0,0,20
0039e695a9b5da4b38c3c4d0f902f3b6528b443f.cl,entry,490,641,1,0,0,0,0,490
0039f417d9aacd1f87361d38a1ea9c99bf186dc6.cl,entry,7,0,1,0,0,0,0,7
003a72fa760bd4b83f932c7f74da8e99c9dcf6d6.cl,entry,7,9,1,0,0,0,0,7
003c777682d2597bbc26a81cca752ea7b9735a3c.cl,entry,7,25,1,0,0,0,0,7
003d23e9923a87ab5a1f3d590701a27df93fedd1.cl,entry,11,8,1,0,0,0,0,11
003d9cac27e60b50302a0a4694278c6108235165.cl,entry,24,13,1,0,0,0,0,24
003f61f767cb163bfd6a4c7132b3e7648e428749.cl,entry,7,0,1,0,0,0,0,7
003f9e83fcc0fa558bcea995252dba0a59cff0a6.cl,entry,166,193,1,0,0,0,0,166
00419ac4fc2c7caf6bbaac906570ae33f6ee3c5c.cl,entry,17,26,1,0,0,0,0,17
0041bc6cb8663cffac14d3e85ec75d4fbb54a0e7.cl,entry,9,35,1,0,0,0,0,9
004338752e31d42150b2c977f5673e98ba6c11f4.cl,entry,8,30,1,0,0,0,0,8
00446aadc410eb17db688df92ee68881607ca202.cl,entry,66,78,1,0,0,0,0,66
0044fe2bca709351a1a87a2eed379c301de063d0.cl,entry,7,0,1,0,0,0,0,7
004509d4e02ee7a3dd010d04944adc9453922548.cl,entry,122,184,1,0,0,0,0,122
00463f64ef4b20a3ad4a0b1b0887b7b613f91dbb.cl,entry,7,1,1,0,0,0,0,7
004757027270ea13e8172a5afb94574a45c2735f.cl,entry,7,44,1,0,0,0,0,7
0048c4aa35dca0f704cc2c17b153eb1cc3c15715.cl,entry,16,36,1,0,0,0,0,16
0049031634363efa18f079f106b8100151e1e02f.cl,entry,117,169,1,0,0,0,0,117
004aeeac4730bff9518141fea6ae7fc0ee6d635c.cl,entry,11,24,1,0,0,0,0,11
