file,kernel,comp,rational,mem,localmem,coalesced,atomic,F2:coalesced/mem,F4:comp/mem
https-api-github-com-repos-01org-libxcam-git-blobs-0c3c754c609d500564abdb200d756ea04b3c2171.cl,A,42,2,3,0,0,0,0,14
https-api-github-com-repos-01org-libxcam-git-blobs-0ccc3c62fa59a4073288dc83035c69e2048a5798.cl,B,124,12,4,0,0,0,0,31
https-api-github-com-repos-01org-libxcam-git-blobs-1c4e56c8b1a194f9afb6152388444e0909613ac9.cl,A,58,2,8,0,0,0,0,7.25
https-api-github-com-repos-01org-libxcam-git-blobs-4aa5afb41c45a2d08c729468ee960a41bc83c7ff.cl,A,61,16,8,0,8,0,1,7.62
https-api-github-com-repos-01org-libxcam-git-blobs-8e14c13a22b1eff3eeeb8216c22dc06b530f16ea.cl,A,88,0,18,0,18,0,1,4.89
https-api-github-com-repos-151706061-FAST-git-blobs-40cf2e3d907ec46723a4f794885b7849967e2fe4.cl,A,5,9,6,0,6,0,1,0.833
https-api-github-com-repos-4Liamk-KFusion-git-blobs-ab79f96d97102b5a23a178013b86ac1339e35812.cl,C,2,4,7,4,1,0,0.143,0.286
https-api-github-com-repos-4Liamk-KFusion-git-blobs-ab79f96d97102b5a23a178013b86ac1339e35812.cl,D,1,0,3,0,3,0,1,0.333
https-api-github-com-repos-4Liamk-KFusion-git-blobs-ab79f96d97102b5a23a178013b86ac1339e35812.cl,E,32687,4035088528,4035088482,32672,4035088578,4035088624,1,8.1e-06
https-api-github-com-repos-4Liamk-KFusion-git-blobs-ab79f96d97102b5a23a178013b86ac1339e35812.cl,F,3,0,3,0,3,0,1,1
https-api-github-com-repos-4Liamk-KFusion-git-blobs-ab79f96d97102b5a23a178013b86ac1339e35812.cl,G,4,1,7,0,4,0,0.571,0.571
https-api-github-com-repos-4Liamk-KFusion-git-blobs-ab79f96d97102b5a23a178013b86ac1339e35812.cl,H,3,3,8,4,3,0,0.375,0.375
https-api-github-com-repos-4Liamk-KFusion-git-blobs-ab79f96d97102b5a23a178013b86ac1339e35812.cl,I,5,1,8,2,4,0,0.5,0.625
