Conference,Year,Paper,Benchmark Suite
HiPC,2015,paper-01,NVIDIA SDK
HiPC,2015,paper-01,NVIDIA SDK
HiPC,2015,paper-01,NVIDIA SDK
HiPC,2015,paper-01,NVIDIA SDK
HiPC,2015,paper-01,NVIDIA SDK
HiPC,2015,paper-01,NVIDIA SDK
HiPC,2015,paper-01,NVIDIA SDK
HiPC,2015,paper-01,NVIDIA SDK
HiPC,2015,paper-01,Parboil
HiPC,2015,paper-01,Parboil
HiPC,2015,paper-01,Parboil
HiPC,2015,paper-01,Parboil
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,AMD SDK
HiPC,2015,paper-01,Polybench
HiPC,2015,paper-01,Polybench
HiPC,2015,paper-01,Polybench
HiPC,2015,paper-01,Polybench
HiPC,2015,paper-01,Polybench
HiPC,2015,paper-01,Polybench
CGO,2013,paper-02,SHOC
CGO,2013,paper-02,SHOC
CGO,2013,paper-02,SHOC
CGO,2013,paper-02,SHOC
CGO,2013,paper-02,SHOC
CGO,2013,paper-02,SHOC
CGO,2013,paper-02,SHOC
CGO,2013,paper-02,SHOC
CGO,2013,paper-02,SHOC
CGO,2013,paper-02,SHOC
CGO,2013,paper-02,SHOC
CGO,2013,paper-02,NVIDIA SDK
CGO,2013,paper-02,NVIDIA SDK
CGO,2013,paper-02,NVIDIA SDK
CGO,2013,paper-02,NVIDIA SDK
CGO,2013,paper-02,NVIDIA SDK
CGO,2013,paper-02,NVIDIA SDK
CGO,2013,paper-02,NVIDIA SDK
CGO,2013,paper-02,NVIDIA SDK
CGO,2013,paper-02,NVIDIA SDK
CGO,2013,paper-02,NVIDIA SDK
CGO,2013,paper-02,NVIDIA SDK
CGO,2013,paper-02,AMD SDK
CGO,2013,paper-02,AMD SDK
CGO,2013,paper-02,AMD SDK
CGO,2013,paper-02,AMD SDK
CGO,2013,paper-02,AMD SDK
CGO,2013,paper-02,AMD SDK
CGO,2013,paper-02,AMD SDK
CGO,2013,paper-02,AMD SDK
CGO,2013,paper-02,AMD SDK
CGO,2013,paper-02,AMD SDK
CGO,2013,paper-02,AMD SDK
CGO,2013,paper-02,Parboil
CGO,2013,paper-02,Parboil
CGO,2013,paper-02,Parboil
CGO,2013,paper-02,Parboil
CGO,2013,paper-02,Parboil
CGO,2013,paper-02,Parboil
CGO,2013,paper-02,Parboil
CGO,2013,paper-02,Parboil
CGO,2013,paper-02,Parboil
CGO,2013,paper-02,Parboil
CGO,2015,paper-02,Parboil
PACT,2014,paper-03,AMD SDK
PACT,2014,paper-03,AMD SDK
PACT,2014,paper-03,AMD SDK
PACT,2014,paper-03,AMD SDK
PACT,2014,paper-03,AMD SDK
PACT,2014,paper-03,AMD SDK
PACT,2014,paper-03,AMD SDK
PACT,2014,paper-03,AMD SDK
PACT,2014,paper-03,AMD SDK
PACT,2014,paper-03,AMD SDK
PACT,2014,paper-03,NVIDIA SDK
PACT,2014,paper-03,NVIDIA SDK
PACT,2014,paper-03,NVIDIA SDK
PACT,2014,paper-03,Parboil
PACT,2014,paper-03,Parboil
PACT,2014,paper-03,Parboil
PACT,2014,paper-03,Parboil
PACT,2015,paper-04,NVIDIA SDK
PACT,2015,paper-04,NVIDIA SDK
PACT,2015,paper-04,NVIDIA SDK
PACT,2015,paper-04,NVIDIA SDK
PACT,2015,paper-04,NVIDIA SDK
PACT,2015,paper-04,NVIDIA SDK
PACT,2015,paper-04,NVIDIA SDK
PACT,2015,paper-04,NVIDIA SDK
PACT,2015,paper-04,NVIDIA SDK
PACT,2015,paper-04,NVIDIA SDK
PACT,2015,paper-04,NVIDIA SDK
PACT,2015,paper-04,Rodinia
PACT,2015,paper-04,Rodinia
PACT,2015,paper-04,Rodinia
PACT,2015,paper-04,Rodinia
PACT,2015,paper-04,Rodinia
PACT,2015,paper-04,Rodinia
PACT,2015,paper-04,Rodinia
PACT,2015,paper-04,Rodinia
PACT,2015,paper-04,Rodinia
PACT,2015,paper-04,Rodinia
PACT,2015,paper-04,Rodinia
PACT,2015,paper-04,Rodinia
PACT,2015,paper-05,NVIDIA SDK
PACT,2015,paper-05,NVIDIA SDK
PACT,2015,paper-05,NVIDIA SDK
PACT,2015,paper-05,Rodinia
PACT,2015,paper-05,Rodinia
PACT,2015,paper-05,Rodinia
PACT,2015,paper-05,MARS
PACT,2015,paper-05,MARS
PACT,2015,paper-05,MARS
PACT,2015,paper-05,MARS
PACT,2015,paper-05,Lonestar
PACT,2015,paper-05,Lonestar
PACT,2015,paper-05,Lonestar
PACT,2015,paper-05,Lonestar
PACT,2015,paper-05,Lonestar
CGO,2014,paper-06,Polybench
CGO,2014,paper-06,Polybench
CGO,2014,paper-06,Polybench
CGO,2014,paper-06,Polybench
CGO,2014,paper-06,Polybench
CGO,2014,paper-06,Polybench
CGO,2014,paper-06,Polybench
CGO,2014,paper-06,Polybench
CGO,2014,paper-06,Polybench
CGO,2014,paper-06,Polybench
CGO,2014,paper-06,Polybench
CGO,2014,paper-07,NAS
CGO,2014,paper-07,NAS
CGO,2014,paper-07,NAS
CGO,2014,paper-07,NAS
CGO,2014,paper-07,NAS
CGO,2014,paper-07,NAS
CGO,2014,paper-07,NAS
CGO,2014,paper-08,Parboil
CGO,2014,paper-08,Parboil
CGO,2014,paper-08,Parboil
CGO,2014,paper-08,Parboil
CGO,2014,paper-08,Parboil
CGO,2014,paper-08,Parboil
CGO,2014,paper-08,Parboil
CGO,2014,paper-08,Rodinia
CGO,2014,paper-08,Rodinia
CGO,2014,paper-08,Rodinia
CGO,2014,paper-08,Rodinia
CGO,2014,paper-08,Rodinia
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,NVIDIA SDK
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2015,paper-09,Rodinia
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2016,paper-10,Parboil
CGO,2015,paper-11,NVIDIA SDK
CGO,2015,paper-11,NVIDIA SDK
CGO,2015,paper-11,GPGPUsim
CGO,2015,paper-11,Rodinia
CGO,2015,paper-11,Rodinia
